City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
124,East London,ZA,71.22,-33.0153,27.9116,Tu Casa
127,Bengkulu,ID,75.81,-3.8004,102.2655,Grage Hotel Bengkulu
129,Bobon,PH,83.19,12.5246,124.5636,Binang and Cadio Resort
131,Hambantota,LK,79.14,6.1241,81.1185,Bungalow 63
133,Hithadhoo,MV,82.58,-0.6,73.0833,Scoop Guest House
135,Flinders,AU,75.18,-34.5833,150.8552,Shellharbour Resort & Conference Centre
139,Koidu,SL,70.11,8.4167,-10.8333,
145,San Quintin,MX,76.35,30.4833,-115.95,Don Eddie's Sport Fishing Center
147,Vanimo,PG,83.5,-2.6741,141.3028,Vahmoneh Lodge Vanimo
148,Bambous Virieux,MU,70.05,-20.3428,57.7575,Casa Tia Villa
152,Solenzo,BF,76.28,12.1833,-4.0833,
154,Mayo,US,70.41,38.8876,-76.5119,Resorts Resource Group International
156,Paterno,IT,71.85,37.571,14.9027,Centro Benessere Acquaplanet
157,Hasaki,JP,79.2,35.7333,140.8333,Hotel Sunrise Choshi
158,Tomatlan,MX,82.54,19.9333,-105.25,El Salvial
159,Mahebourg,MU,70.09,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
161,Riyadh,SA,80.74,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
164,Ardakan,IR,71.98,32.31,54.0175,Ardakan Hotel
166,Amalapuram,IN,75.49,16.5833,82.0167,swayamprabha service apartments
167,Manadhoo,MV,82.06,5.7667,73.3833,Vevu Guesthouse
171,Albox,ES,73.18,37.3886,-2.1495,Steve Conroy Los Olivos
172,Sioux Lookout,CA,70.18,50.1001,-91.917,Knobby's Fly-In Camps
174,Jacareacanga,BR,79.72,-6.2222,-57.7528,Casa do Ian😎
175,Abeche,TD,79.36,13.8292,20.8324,Assaleh Hamdan Haroune
181,Bardiyah,LY,75.04,31.7561,25.0865,بورتو بردية
185,Russell,US,76.23,32.3502,-85.1999,Macs
186,Mumford,GH,76.15,5.2618,-0.759,Spanish Villa
187,Languyan,PH,80.82,5.2618,120.0807,
